"file_a","file_b","block_a","block_b","line_a","line_b","score"
"./R/lewbel-gmm.R","./R/lewbel-gmm.R",317,344,1198,1276,0.933774834437086
"./R/simulation.R","./R/simulation.R",20,40,20,106,0.899159663865546
"./R/simulation.R","./R/simulation.R",59,79,185,274,0.892307692307692
"./R/lewbel-gmm.R","./R/lewbel-gmm.R",44,80,45,128,0.858024691358025
"./R/visualization.R","./R/visualization.R",43,63,99,142,0.844036697247706
"./R/analysis.R","./R/analysis.R",74,98,246,300,0.785714285714286
"./R/data-generation.R","./R/data-generation.R",61,177,61,319,0.703056768558952
"./R/lewbel-gmm.R","./R/lewbel-gmm.R",44,262,45,863,0.573333333333333
"./R/visualization.R","./R/visualization.R",23,88,23,189,0.388663967611336
"./R/visualization.R","./R/visualization.R",43,114,99,266,0.383720930232558
"./R/lewbel-gmm.R","./R/lewbel-gmm.R",296,372,969,1361,0.367788461538462
"./R/lewbel-gmm.R","./R/lewbel-gmm.R",152,372,261,1361,0.36281179138322
"./R/prono-diagonal-garch.R","./R/prono-diagonal-garch.R",39,50,40,159,0.341880341880342
"./R/prono-diagonal-garch.R","./R/prono.R",92,107,282,426,0.32183908045977
"./R/analysis.R","./R/analysis.R",52,74,166,246,0.290909090909091
"./R/analysis.R","./R/analysis.R",25,98,26,300,0.288659793814433
"./R/lewbel-monte-carlo.R","./R/simulation.R",73,20,73,20,0.280373831775701
"./R/lewbel-monte-carlo.R","./R/rigobon.R",133,68,299,69,0.271565495207668
"./R/lewbel-gmm.R","./R/prono.R",262,65,863,128,0.270833333333333
"./R/analysis.R","./R/prono.R",114,133,350,491,0.258064516129032
"./R/prono.R","./R/prono.R",44,107,45,426,0.25
"./R/lewbel-gmm.R","./R/lewbel-gmm.R",160,168,543,605,0.246913580246914
"./R/simulation.R","./R/utils.R",40,77,106,89,0.245762711864407
"./R/estimation.R","./R/estimation.R",109,172,177,506,0.238353196099675
"./R/analysis.R","./R/simulation-helpers.R",98,23,300,36,0.217616580310881
"./R/data-generation.R","./R/rigobon.R",111,68,193,69,0.214285714285714
"./R/prono-diagonal-garch.R","./R/prono.R",61,44,233,45,0.213333333333333
"./R/analysis.R","./R/visualization.R",74,148,246,352,0.212765957446808
"./R/prono-diagonal-garch.R","./R/prono.R",124,96,369,332,0.203619909502262
"./R/lewbel-gmm.R","./R/rigobon.R",232,150,718,427,0.189003436426117
"./R/utils-hetid.R","./R/utils.R",30,77,140,89,0.186274509803922
"./R/data-generation.R","./R/rigobon.R",111,113,193,253,0.182212581344902
"./R/simulation.R","./R/utils.R",20,96,20,172,0.172413793103448
"./R/string-constants.R","./R/utils-hetid.R",3,18,3,50,0.164383561643836
"./R/data-generation.R","./R/estimation.R",111,57,193,57,0.152631578947368
"./R/analysis.R","./R/messager.R",114,15,350,15,0.137254901960784
"./R/utils-hetid.R","./R/utils-hetid.R",18,21,50,92,0.111111111111111
"./R/options.R","./R/visualization.R",33,148,33,352,0.102564102564103
